(2.689632,50.985248),
(2.689355,50.986308),
(2.689034,50.98745),
(2.688589,50.989122),
(2.68815,50.990791),
(2.687947,50.991574),
(2.687084,50.994804),
(2.686506,50.996975),
(2.686234,50.997986),
(2.686211,50.998072),
(2.68503,51.002527),
(2.684613,51.004098),
(2.684462,51.004654),
(2.684287,51.005352),
(2.684242,51.005504),
(2.68404,51.006135),
(2.683852,51.006798),
(2.68338,51.008369),
(2.683274,51.008733),
(2.682381,51.011783),
(2.682369,51.011822),
(2.681627,51.014328),
(2.681378,51.015219),
(2.681214,51.015764),
(2.680866,51.01693),
(2.680744,51.017308),
(2.680398,51.018519),
(2.68003,51.019728),
(2.679406,51.021871),
(2.679346,51.022059),
(2.679344,51.022187),
(2.679304,51.022384),
(2.679271,51.022531),
(2.679216,51.022734),
(2.679039,51.023505),
(2.67881,51.024149),
(2.678697,51.02448),
(2.67847,51.025074),
(2.678374,51.025388),
(2.678157,51.026103),
(2.676641,51.030687),
(2.676107,51.032266),
(2.675607,51.033779),
(2.675568,51.033899),
(2.674596,51.036842),
(2.673047,51.041416),
(2.673003,51.041544),
(2.672889,51.041877),
(2.671476,51.045979),
(2.671103,51.047074),
(2.671086,51.047123),
(2.671038,51.047278),
(2.671007,51.047367),
(2.670533,51.04871),
(2.669069,51.05286),
(2.668992,51.053053),
(2.668667,51.053774),
(2.66863,51.053897),
(2.668508,51.054143),
(2.668423,51.054314),
(2.668366,51.054437),
(2.668241,51.054704),
(2.668085,51.054964),
(2.66803,51.055066),
(2.668032,51.055097),
(2.668064,51.055146),
(2.668107,51.055193),
(2.668134,51.055297),
(2.66808,51.055398),
(2.668025,51.055439),
(2.667959,51.05547),
(2.667883,51.05549),
(2.667802,51.055498),
(2.667741,51.055496),
(2.667575,51.055453),
(2.66753,51.055427),
(2.667484,51.055386),
(2.667453,51.055339),
(2.66744,51.055289),
(2.667394,51.05524),
(2.667233,51.055168),
(2.666971,51.055091),
(2.6667,51.055037),
(2.666542,51.055004),
(2.666294,51.054976),
(2.666137,51.054985),
(2.665817,51.055046),
(2.665568,51.05516),
(2.665474,51.05523),
(2.665332,51.055396),
(2.665277,51.055568),
(2.665286,51.055676),
(2.665318,51.055779),
(2.665384,51.055883),
(2.665468,51.055982),
(2.665584,51.056069),
(2.665706,51.056135),
(2.666054,51.056247),
(2.666302,51.056293),
(2.666553,51.056384),
(2.667287,51.056472),
(2.667995,51.056575),
(2.669006,51.056723),
(2.669734,51.056842),
(2.670338,51.056949),
(2.671249,51.057122),
(2.672747,51.057451),
(2.674008,51.057775),
(2.675127,51.05808),
(2.676118,51.05838),
(2.677056,51.058682),
(2.677993,51.059006),
(2.679265,51.059486),
(2.680458,51.059984),
(2.681581,51.060489),
(2.682601,51.060981),
(2.683796,51.061606),
(2.684934,51.062267),
(2.685772,51.062787),
(2.686611,51.06334),
(2.687622,51.064071),
(2.69414,51.068924),
(2.695368,51.069844),
(2.695898,51.070241),
(2.696876,51.070971),
(2.697845,51.071685),
(2.698792,51.072351),
(2.699342,51.072726),
(2.699743,51.073008),
(2.700173,51.073288),
(2.700648,51.073598),
(2.701791,51.074317),
(2.70383,51.075523),
(2.704708,51.076015),
(2.705924,51.076669),
(2.70721,51.077336),
(2.710429,51.079014),
(2.713624,51.080685),
(2.718524,51.083196),
(2.723737,51.08585),
(2.725283,51.086697),
(2.726554,51.087477),
(2.727229,51.087919),
(2.7287689999999999,51.089035),
(2.729752,51.089822),
(2.73042,51.090398),
(2.731005,51.090934),
(2.732036,51.092015),
(2.732521,51.092556),
(2.733303,51.093491),
(2.736112,51.097048),
(2.737565,51.098849),
(2.738397,51.099804),
(2.739996,51.101498),
(2.740768,51.102254),
(2.741318,51.10278),
(2.743049,51.104324),
(2.744451,51.105479),
(2.744765,51.10573),
(2.745771,51.106505),
(2.746683,51.10718),
(2.747798,51.107974),
(2.748391,51.108367),
(2.749264,51.108946),
(2.750355,51.109647),
(2.752415,51.110878),
(2.753104,51.11126),
(2.753786,51.111638),
(2.754572,51.112058),
(2.756323,51.112957),
(2.757455,51.113507),
(2.758303,51.113905),
(2.759437,51.114412),
(2.760594,51.114918),
(2.762278,51.115611),
(2.762779,51.115808),
(2.763457,51.116069),
(2.764027,51.116284),
(2.764682,51.116527),
(2.775962,51.120433),
(2.786885,51.124177),
(2.787428,51.124366),
(2.79668,51.127562),
(2.797591,51.127883),
(2.799448,51.128534),
(2.801398,51.129202),
(2.805804,51.130727),
(2.81026,51.132261),
(2.812781,51.133077),
(2.813887,51.133412),
(2.815038,51.133741),
(2.815873,51.133969),
(2.817166,51.134308),
(2.819172,51.134808),
(2.82042,51.135092),
(2.822733,51.135582),
(2.824381,51.135899),
(2.825107,51.136027),
(2.82559,51.136121),
(2.82809,51.136511),
(2.831206,51.136951),
(2.833563,51.137283),
(2.834624,51.137436),
(2.836916,51.137756),
(2.841608,51.13841),
(2.846528,51.139098),
(2.848081,51.139316),
(2.849697,51.139562),
(2.855618,51.140517),
(2.859623,51.141144),
(2.861942,51.141509),
(2.86277,51.141646),
(2.864444,51.141877),
(2.867005,51.142194),
(2.86798,51.142298),
(2.874757,51.143066),
(2.876859,51.143304),
(2.878947,51.143537),
(2.881333,51.14383),
(2.884903,51.144285000000007),
(2.886962,51.144588),
(2.890967,51.14527),
(2.893516,51.145726),
(2.897153,51.14641),
(2.900778,51.147174),
(2.903779,51.147861),
(2.90559,51.148306),
(2.908957,51.149175),
(2.912059,51.150026),
(2.915225,51.150961),
(2.918292,51.15192),
(2.921498,51.152991),
(2.921803,51.153094),
(2.924295,51.153971),
(2.926605,51.154845),
(2.927648,51.155223),
(2.931048,51.156571),
(2.932444,51.157124),
(2.934944,51.158105),
(2.937321,51.159034),
(2.940708,51.160384),
(2.943851,51.161584),
(2.946096,51.162475),
(2.948476,51.163402),
(2.951008,51.164298),
(2.951562,51.164489),
(2.953896,51.165237),
(2.956548,51.166019),
(2.958419,51.166527),
(2.961575,51.167289),
(2.963107,51.16763),
(2.965074,51.168056),
(2.967097,51.168428),
(2.968857,51.168731),
(2.971197,51.169088),
(2.983636,51.17091),
(2.990697,51.171944),
(2.999238,51.173206),
(3.001823,51.173603),
(3.003242,51.173872),
(3.004429,51.174125),
(3.005753,51.174449),
(3.007368,51.17489),
(3.008782,51.175323),
(3.009991,51.17574),
(3.010787,51.176029),
(3.011681,51.176383),
(3.019537,51.179525),
(3.020297,51.17983),
(3.021655,51.18038),
(3.022751,51.18081),
(3.024211,51.181352),
(3.02488,51.181583),
(3.026451,51.182053),
(3.027618,51.182377),
(3.028789,51.182676),
(3.030075,51.182969),
(3.058299,51.189319),
(3.05942,51.189603),
(3.061017,51.190017),
(3.064322,51.190974),
(3.068179,51.192136),
(3.069775,51.192547),
(3.070891,51.192785),
(3.0717,51.192919),
(3.073122,51.193083),
(3.074025,51.193152),
(3.074416,51.193175),
(3.075448,51.193204),
(3.076485,51.193194),
(3.077794,51.193129),
(3.079155,51.192981),
(3.080275,51.192832),
(3.08166,51.192613),
(3.083419,51.19231),
(3.087268,51.19161),
(3.087518,51.191531),
(3.088557,51.191362),
(3.090639,51.19098),
(3.091971,51.190706),
(3.09261,51.190578),
(3.093706,51.190355),
(3.095426,51.18994),
(3.096888,51.189552),
(3.09834,51.189137),
(3.0998,51.1887),
(3.100764,51.188385),
(3.101165,51.188255),
(3.109307,51.185448),
(3.119315,51.182019),
(3.121227,51.181357),
(3.1224,51.18096),
